0,4,1,0,2,5,0,0,1,0,1,0,1,2,0,1,0,0,0,0,2,3,0,6,6,0,0,1,1,0,0,1,1,0,0,0,0,2,6,1,11,19,0,0,0,1,2,1,1,2,0,6,2,2,0,0,20,0,0,0,4,4,0,0,1,0,1,0,1,0,0,3,4,0,2,0,0,0,4,1,1,1,0,3,2,0,0,3,1,6,3,2,0,0,3,1,0,0,0,0,0,0,1,0,6,2,1,0,0,1,0,0,0,0,1,8,0,7,2,0,0,1,0,10,0,5,0,13,3,0,0,0,0,2,6,2,1,0,1,2,0,0,0,1,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,17,4,0,1,1,2,7,8,5,0,0,5,0,0,0,0,2,0,1,0,0,3,0,1,0,4,9,21,7,0,7,27,4,1,0,0,0,0,0,1,0,10,1,1,0,6,0,0,1,0,1,0,2,0,17,2,1,8,1,8,1,0,10,1,0,0,3,0,0,1,3,0,1,3,0,1,0,1,0,1,10,3,0,0,11,0,0,0,11
0,4,9,1,1,4,0,0,2,3,1,0,2,2,3,3,0,3,3,0,1,0,0,3,0,0,0,0,7,0,0,1,2,0,1,2,0,4,17,4,29,10,7,0,0,0,1,3,2,0,1,8,0,2,0,1,19,0,0,0,1,15,0,0,2,0,2,0,1,1,1,5,2,1,1,1,0,5,10,0,3,1,0,3,1,0,0,1,3,0,0,2,0,0,0,6,1,2,0,0,0,2,0,0,0,0,5,0,0,2,0,2,0,0,1,0,0,13,3,0,0,0,0,18,2,1,0,4,0,0,1,0,0,3,0,3,0,1,1,1,1,0,3,0,0,0,0,6,2,1,0,1,0,1,0,1,0,0,1,0,1,0,0,2,0,2,3,15,2,0,4,2,1,4,10,2,0,1,2,0,1,0,0,2,1,0,0,0,15,0,5,6,1,1,15,7,0,2,15,3,2,0,0,0,1,0,1,0,12,0,0,1,7,0,1,1,2,1,2,0,0,7,1,1,7,0,3,0,0,5,0,0,0,1,0,0,3,1,0,1,1,0,0,1,0,2,1,2,0,0,0,9,0,0,0,9
0,5,0,3,14,0,1,6,4,0,7,0,3,2,2,0,8,5,0,2,4,0,0,0,1,0,1,0,6,4,0,4,3,0,0,1,0,0,0,0,6,3,1,0,1,3,2,30,26,0,0,9,1,0,0,0,5,5,1,0,3,1,0,0,5,0,2,0,0,0,1,1,0,0,0,0,1,2,3,2,2,3,1,1,5,0,2,0,0,2,3,2,0,0,0,2,2,0,1,1,1,1,1,2,0,4,9,0,1,3,0,1,0,0,0,0,0,4,1,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,1,3,0,5,1,1,0,0,2,0,1,0,1,3,0,2,0,1,2,8,0,0,3,0,2,0,0,1,2,1,0,0,1,5,2,0,6,0,0,2,1,2,1,1,0,0,1,3,2,1,28,1,1,15,1,1,3,1,1,0,3,0,2,1,7,6,1,1,0,0,0,4,2,0,1,0,1,0,0,12,8,0,0,0,2,0,9,1,5,1,1,8,1,1,0,0,1,0,0,1,0,0,0,0,0,2,0,1,2,0,0,7,1,7,1,0,0,2,0,3,0,1
0,5,0,0,1,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,0,0,8,1,3,0,4,17,0,1,7,1,8,13,0,0,0,1,1,2,0,1,0,1,0,3,0,0,38,0,0,1,1,23,1,7,2,0,1,0,1,2,1,0,0,4,3,2,30,0,3,1,1,4,0,1,0,5,0,1,3,12,0,5,1,0,1,1,0,0,3,1,1,0,5,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,1,0,27,0,0,0,1,0,0,0,0,0,2,0,5,0,0,2,12,0,0,0,2,0,0,0,2,0,0,0,2,1,1,0,0,0,0,4,0,0,3,0,0,1,2,0,3,4,0,2,1,1,0,9,1,0,2,5,0,0,0,1,0,0,0,0,14,2,0,5,0,0,20,8,0,0,2,3,0,1,0,0,0,1,0,1,0,1,2,0,1,0,0,2,0,1,1,0,0,1,13,1,0,1,0,1,4,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,16,2,0,1,14,0,1,0,1
0,10,2,0,0,2,0,0,17,0,1,0,6,0,0,1,0,2,0,0,2,0,1,4,2,0,3,2,4,2,0,2,2,0,8,0,0,1,3,0,4,20,0,0,7,37,2,1,0,0,0,4,1,0,0,0,33,0,0,0,0,19,4,0,1,1,2,0,0,0,2,0,1,0,1,0,0,0,2,1,3,2,0,2,0,1,0,0,6,0,0,4,0,0,0,1,0,2,0,0,0,3,8,2,0,1,0,0,0,0,3,1,0,0,1,0,0,5,5,0,0,3,0,14,0,0,0,7,0,0,2,1,0,1,0,3,0,1,4,6,1,0,0,0,0,0,0,3,0,0,0,2,0,1,1,0,0,0,2,0,26,0,0,4,4,4,8,12,4,0,9,3,1,0,9,8,0,0,8,3,0,0,0,5,0,0,0,2,7,0,0,0,5,9,23,4,3,5,8,8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,3,1,0,6,5,0,1,1,2,2,1,0,1,0,0,2,0,0,2,4,0,0,0,3,0,0,4,0,0,1,3,0,0,0,7
0,5,0,0,4,2,0,3,1,0,9,0,2,2,2,4,4,1,1,0,0,12,0,1,1,0,1,3,2,0,1,2,4,0,4,2,0,1,0,1,8,13,3,0,2,2,2,2,4,1,1,1,1,0,1,1,11,0,1,0,4,2,1,1,1,3,0,0,1,0,2,2,0,1,1,5,0,0,1,0,0,4,0,2,1,1,0,0,3,0,0,2,0,0,1,0,0,1,0,0,0,0,1,6,1,1,4,1,2,1,1,1,0,1,2,0,0,4,0,1,0,0,3,10,0,1,0,8,2,0,0,3,2,1,2,3,1,1,2,1,0,0,2,0,0,0,1,1,0,0,0,8,1,0,1,1,0,0,4,3,0,2,0,2,0,6,0,9,3,0,9,1,1,1,8,5,0,4,1,0,1,2,0,3,4,0,1,4,6,0,0,0,3,16,4,1,1,1,13,3,0,4,0,0,1,3,1,1,2,0,0,1,2,2,0,1,0,1,0,0,1,9,4,2,6,3,1,4,0,2,0,0,0,0,0,1,6,0,0,0,0,0,2,1,1,2,0,5,12,0,0,2,9,1,0,6
0,6,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,5,2,0,2,0,2,0,2,1,0,0,1,1,0,4,3,1,1,11,2,22,15,11,0,1,1,0,3,16,0,0,2,1,2,0,0,30,0,1,3,9,16,6,0,1,0,1,0,0,0,2,0,1,0,3,3,2,0,1,0,0,1,1,0,0,5,1,0,1,3,0,2,2,0,0,1,0,1,0,0,0,0,4,0,2,0,0,0,0,14,0,2,3,0,0,1,0,0,3,1,0,3,0,25,0,1,0,3,0,0,2,1,0,1,0,3,0,0,4,13,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,0,0,1,3,0,5,0,1,4,0,7,1,1,2,4,2,1,3,6,8,4,0,0,0,0,2,0,0,44,0,4,0,0,19,4,0,0,1,0,3,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,7,0,1,0,0,1,5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
0,6,1,0,0,3,6,0,8,0,1,0,5,1,0,1,0,0,0,0,7,11,0,1,1,0,0,0,1,0,6,1,1,0,0,2,0,1,11,0,5,15,1,0,2,5,2,2,1,0,0,0,0,1,0,0,48,0,2,0,2,44,0,4,1,1,1,0,1,0,2,0,2,1,0,0,10,0,4,1,0,3,4,0,0,0,0,1,1,2,0,3,1,0,0,3,0,1,0,0,0,0,10,1,0,0,0,0,0,0,0,2,0,0,1,0,0,7,1,1,0,2,0,30,0,0,0,1,0,0,0,2,0,2,3,22,1,1,5,11,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,2,0,0,2,2,0,0,0,0,1,2,1,5,3,0,5,1,1,0,5,3,0,0,6,0,0,0,1,2,0,4,0,0,11,0,2,0,6,12,5,0,1,1,4,3,0,1,0,5,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,0,2,0,0,3,0,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,8,0,0,0,3,0,0,0,0
0,9,0,0,0,2,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,7,0,2,1,2,0,2,11,0,2,7,1,6,12,0,0,2,3,0,1,2,0,0,0,0,3,0,0,2,0,1,0,0,11,3,0,1,2,2,0,0,1,1,3,1,0,7,0,0,0,1,0,1,1,0,4,4,0,0,2,1,1,0,13,1,0,1,1,0,1,1,2,3,0,6,7,0,0,5,0,0,0,0,1,0,1,2,2,0,1,0,6,0,0,0,39,0,0,6,7,0,1,0,0,0,4,0,4,0,0,1,8,0,1,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,2,0,0,2,0,1,50,3,3,4,6,0,4,2,1,0,5,2,0,0,7,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,11,0,0,1,8,6,0,0,3,0,0,0,0,0,1,0,0,8,9,1,1,0,0,2,4,6,0,12,1,1,0,16,0,1,1,3,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,2,0,5,0,0,16,0,0,0,0
0,19,1,1,13,0,2,2,1,0,5,0,6,0,7,0,4,1,0,1,3,0,0,0,4,3,3,0,7,2,1,2,1,0,1,1,1,3,0,0,1,6,3,0,1,7,0,12,18,0,1,0,1,0,3,0,3,0,1,0,2,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,2,0,12,0,0,7,5,0,1,0,0,0,3,2,1,1,2,10,3,0,0,0,1,1,0,1,0,1,3,1,5,1,0,0,0,4,0,0,1,7,0,0,0,0,0,2,0,0,0,0,1,0,2,0,1,4,0,3,4,4,4,0,0,11,6,2,0,0,0,1,0,23,1,9,2,0,0,0,1,0,0,0,1,6,0,1,2,0,1,1,4,1,0,0,0,0,4,2,3,4,0,0,3,3,1,0,2,1,2,6,3,3,1,0,1,3,3,1,2,0,4,12,0,2,0,0,3,1,0,1,2,0,0,0,0,9,9,0,3,1,1,0,14,0,1,2,2,2,1,0,0,1,0,0,1,2,11,0,19,2,0,1,0,7,3,6,1,1,0,2,2,1,1,0,2,4,2,0
1,15,0,1,0,3,2,0,7,1,1,0,3,0,0,1,1,0,0,0,6,0,0,0,0,0,1,15,1,1,3,1,4,1,0,12,2,1,2,2,10,13,0,0,1,3,2,1,14,0,0,2,0,1,0,0,0,0,0,0,0,34,0,1,1,0,2,0,1,1,0,0,1,0,4,0,0,1,0,1,4,1,0,2,1,0,0,2,2,0,0,4,0,0,1,1,0,0,1,1,0,1,6,0,2,1,2,0,0,2,0,0,3,0,2,0,0,7,2,0,0,0,0,16,0,0,1,3,0,5,0,0,0,2,1,3,1,2,1,1,0,3,1,0,0,1,0,4,0,1,0,1,0,1,0,0,0,0,5,0,0,0,1,0,0,2,2,11,6,0,0,4,2,0,9,2,0,0,2,0,0,0,0,6,1,0,0,3,17,0,0,1,5,4,21,3,30,6,12,2,1,5,4,0,0,0,0,0,6,0,0,1,3,1,0,0,1,0,1,0,0,0,0,0,2,3,0,1,0,0,0,0,0,2,0,0,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4
0,14,0,1,0,4,1,0,12,0,1,0,6,1,0,2,1,1,0,0,5,1,0,4,0,0,2,9,3,0,12,2,2,0,1,3,3,4,1,1,3,7,0,0,0,22,3,1,2,0,0,1,1,2,0,1,1,0,0,0,2,1,1,1,1,3,1,0,0,0,0,2,0,0,3,4,0,0,3,2,1,1,0,3,2,0,0,0,0,3,0,8,1,0,2,1,0,0,0,0,0,0,11,0,9,0,0,0,0,1,1,0,1,2,8,1,0,7,1,0,0,0,0,36,1,2,3,6,0,0,4,0,0,1,1,1,4,1,3,9,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,2,1,2,5,0,0,1,1,3,1,11,0,1,5,0,3,0,0,4,1,2,0,0,11,0,0,2,4,3,18,1,0,1,18,6,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,2,0,2,0,1,0,3,1,0,7,4,1,3,1,0,0,1,1,1,0,0,3,1,0,2,2,1,0,1,0,0,0,0,5,2,0,9,1,0,0,6
0,7,0,0,0,1,1,0,3,2,1,0,14,0,1,1,0,0,0,0,2,0,0,1,1,0,20,4,4,0,0,2,1,0,2,3,1,1,5,0,7,14,1,0,0,1,1,1,7,0,0,1,0,4,0,1,34,0,0,0,10,15,1,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,3,0,1,3,4,0,2,0,0,0,1,0,0,1,0,4,5,6,1,0,0,2,0,0,2,0,2,1,0,0,1,0,4,0,2,0,0,0,48,0,1,1,11,0,1,0,3,0,2,0,2,0,2,3,10,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,0,0,0,3,0,0,0,1,0,1,7,2,3,6,0,5,1,1,1,4,0,0,0,1,0,0,0,1,2,1,1,1,1,7,0,0,1,1,18,11,1,0,1,6,4,0,2,0,0,0,0,0,0,3,0,0,0,2,0,2,4,2,5,2,0,0,14,3,0,0,0,1,4,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4,0,9,0,0,0,12,0,0,0,0
0,2,0,0,8,0,0,0,1,2,4,0,5,1,3,0,8,3,2,0,0,0,1,1,2,0,2,0,0,2,2,1,3,0,0,3,0,2,0,0,1,11,1,0,1,2,0,9,25,1,6,2,0,0,0,0,8,0,1,1,1,1,3,0,5,6,0,0,1,2,2,5,3,0,0,0,5,1,0,4,0,1,0,1,7,6,2,1,0,0,7,3,0,0,0,3,1,0,2,3,0,2,0,6,0,3,2,0,0,0,2,0,0,0,0,0,0,2,5,8,1,0,0,30,0,2,0,4,0,1,4,2,0,1,0,5,0,1,2,3,1,1,1,1,8,0,0,2,0,1,1,3,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,3,5,0,0,1,0,0,2,0,0,1,2,0,3,0,1,1,7,2,2,1,16,1,2,0,0,0,17,0,0,0,5,3,0,1,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,3,2,3,0,1,0,0,4,0,2,2,0,0,0,1,0,2,4,0,1,1,0,0,14,2,3,3,0,0,14,3,0,1,3
0,13,1,0,0,3,0,0,4,0,1,0,14,1,0,2,0,0,0,0,0,0,0,4,2,1,1,5,2,0,2,2,4,2,1,4,1,1,3,1,9,16,0,0,1,1,1,1,3,0,0,7,4,3,0,1,9,0,0,1,1,8,2,0,1,1,1,0,1,0,1,11,4,0,3,0,0,0,4,1,13,1,0,2,0,0,0,0,1,2,0,3,0,0,0,1,0,1,0,0,0,1,16,0,0,0,2,0,0,1,4,1,0,0,0,0,0,7,3,0,0,0,0,19,0,3,0,7,0,0,0,0,1,2,4,2,1,0,0,3,0,2,0,0,0,0,0,3,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2,8,5,0,8,1,5,1,9,4,0,0,1,0,0,0,0,2,2,0,0,0,6,0,0,1,1,0,7,2,0,2,15,10,0,1,1,0,0,0,1,0,6,0,3,20,10,1,2,2,0,0,1,0,0,5,3,0,6,2,1,2,3,1,0,0,0,0,0,0,1,0,0,11,0,1,0,0,0,0,0,0,4,0,0,5,0,0,0,8
0,10,0,0,0,4,0,6,1,1,1,1,6,0,0,1,0,3,2,0,4,5,0,3,2,0,1,3,2,0,1,1,2,0,0,3,0,2,4,3,10,10,1,0,0,8,1,2,1,0,0,1,6,1,0,0,5,0,0,0,0,12,0,0,1,0,1,0,0,0,4,3,2,0,0,0,2,1,8,0,0,10,1,1,1,2,0,0,1,5,0,3,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,8,1,2,0,1,0,26,1,2,0,3,0,0,0,0,0,1,2,1,2,2,0,9,0,2,0,0,1,0,0,3,0,0,0,3,0,1,0,0,0,0,1,2,0,1,0,0,1,2,0,5,3,0,3,1,1,0,6,5,0,0,1,2,0,2,8,5,0,0,0,9,15,0,20,0,1,10,8,4,10,2,11,1,0,1,0,2,0,1,0,1,3,1,2,0,0,1,0,3,0,1,1,1,0,11,5,3,2,1,1,2,0,0,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,3,0,0,4,0,0,2,0,0,0,0
0,4,1,0,0,2,0,0,2,0,1,0,1,1,0,1,0,0,0,0,0,6,0,4,3,0,0,11,1,0,3,2,3,1,3,3,0,4,5,0,9,18,0,0,1,12,3,1,2,0,0,1,7,0,0,0,10,0,0,0,0,7,3,0,1,0,3,0,0,0,0,1,2,1,1,0,0,0,3,2,8,1,1,3,1,0,0,3,3,0,0,3,0,0,0,2,0,14,0,3,1,0,5,0,0,0,2,0,0,5,2,3,0,0,3,1,0,7,0,0,0,0,0,31,0,6,0,10,0,0,0,0,0,2,0,2,1,0,3,1,0,0,1,0,0,0,1,2,1,0,1,0,1,1,1,1,0,0,3,2,1,1,0,1,0,1,0,17,6,0,2,2,1,4,16,6,0,1,1,0,3,0,1,4,1,0,0,1,10,0,0,0,3,2,19,1,0,9,12,9,1,1,0,0,0,0,4,0,9,1,0,1,10,0,0,2,1,0,0,11,0,4,5,2,4,2,1,6,0,4,0,0,2,1,0,1,3,0,0,3,1,0,0,0,0,0,0,1,0,0,0,7,0,0,0,5
