0,0,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,14,12,0,0,0,14,0,3,0,3,0,0,0,16,0,2,0,8,0,2,0,0,16,0,0,0
0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,3,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,4,0,0,0,0,12,0,0,0
0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0,0,0,0,5,13,0,0,0,0,5,8,0,0,7,0,0,0,0,16,0,14,0,0,0,0,16,0,0,0
0,0,0,0,0,0,0,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,16,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,16,0,10,0,0,16,0,0,0
0,0,0,12,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,1,0,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,1,0,4,0,16,0,2,0,0,16,0,0,0
0,0,1,11,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,16,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,16,0,4,0,0,16,0,0,0
0,0,0,10,0,0,0,0,16,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,15,0,7,0,0,0,4,0,0,0,16,0,16,0,0,0,0,0,0
0,0,0,1,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,15,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0
0,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,16,1,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,0,11,0,2,0,16,0,0,0,0,16,0,0,0
0,0,0,3,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,1,0,0,0,4,0,16,0,7,0,0,0,13,0,9,0,15,0,0,0,3,16,0,0,0
0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,6,0,16,0,16,0,16,0,0,16,0,0,0
0,0,0,16,0,0,0,0,11,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,5,10,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,14,0,0,0,0,16,0,0,0
